EmployeeID,Gender,Age,MaritalStatus,EducationLevel,Department,JobRole,JobLevel,BusinessTravel,EmploymentType,WorkLocation,RemoteWork,DateOfJoining,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,MonthlyIncome,AnnualSalary,SalaryHikePercent,Bonus,StockOptionLevel,OverTime,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,NumberOfProjects,PromotionInLast5Years,EngagementScore,AbsenteeismDays,ManagerRating,TeamSize,Attrition,DistanceFromHome,HealthIssues,JobInvolvement,StressLevel,HiringSource,CostToHire,ReplacementCost,Region,AgeGroup
1,Male,28,Single,High School,HR,Analyst,3,Non-Travel,Contract,Pune,No,10-11-2016,9.3,7,7,20860,250320,7,1685,0,No,4,4,2,2,12,Yes,33,11,2,8,No,29,No,1,1,Campus,35658,38431,West,25-34
2,Female,23,Single,Master,Marketing,Manager,2,Travel_Rarely,Contract,Mumbai,No,06-05-2017,8.8,8,9,79150,949800,6,23483,2,No,1,4,3,3,1,No,50,7,4,4,No,6,No,2,4,Referral,19692,65758,South,18-24
3,Female,56,Married,Master,Operations,Specialist,1,Travel_Frequently,Contract,Pune,No,05-09-2016,9.5,1,4,85697,1028364,17,39976,0,Yes,1,1,1,3,8,Yes,8,10,3,3,No,8,Yes,3,1,Campus,48660,23561,East,55-64
4,Male,29,Married,High School,Operations,Team Lead,3,Travel_Frequently,Full-Time,Delhi,Yes,12-11-2017,8.3,2,4,72251,867012,19,13773,2,Yes,1,2,3,3,7,Yes,9,14,3,12,No,10,No,1,3,Campus,32403,38141,North,25-34
5,Male,49,Single,PhD,IT,Analyst,4,Travel_Frequently,Contract,Pune,No,15-04-2024,1.9,8,4,76044,912528,10,29467,1,No,3,4,2,3,9,Yes,62,0,1,11,No,27,No,1,4,LinkedIn,19474,78053,West,45-54
6,Male,53,Divorced,Bachelor,Finance,Analyst,1,Travel_Rarely,Contract,Ahmedabad,No,25-07-2022,3.6,3,6,139101,1669212,6,23938,0,Yes,1,4,1,3,2,No,92,4,4,3,No,1,Yes,2,2,LinkedIn,48559,46309,West,45-54
7,Male,37,Divorced,Bachelor,Marketing,Specialist,2,Travel_Frequently,Contract,Delhi,Yes,18-11-2022,3.3,0,8,72662,871944,10,15708,2,No,4,3,4,3,3,Yes,19,19,4,9,No,20,Yes,1,4,Consultancy,33078,31111,North,35-44
8,Male,43,Divorced,Bachelor,HR,Analyst,4,Travel_Frequently,Contract,Ahmedabad,No,22-08-2024,1.5,0,1,93656,1123872,5,38191,1,No,1,1,4,3,9,Yes,99,18,4,5,No,20,No,2,4,LinkedIn,22183,49299,East,35-44
9,Female,40,Married,Master,Operations,Manager,3,Travel_Rarely,Full-Time,Mumbai,No,13-05-2024,1.8,1,1,25539,306468,7,46760,0,No,1,2,1,4,8,No,8,6,3,3,No,1,No,4,3,Campus,29830,37429,South,35-44
10,Male,28,Divorced,Master,HR,Team Lead,1,Non-Travel,Contract,Ahmedabad,Yes,22-06-2023,2.7,2,3,67333,807996,7,44080,0,No,4,2,1,2,6,Yes,37,16,2,7,No,3,No,1,4,Campus,20492,26102,North,25-34
11,Female,45,Married,Master,Operations,Executive,3,Travel_Frequently,Contract,Mumbai,No,30-08-2018,7.5,5,6,143007,1716084,6,16538,1,No,2,1,4,1,11,No,48,6,1,12,No,23,No,3,2,LinkedIn,20647,28716,West,35-44
12,Female,40,Single,PhD,Operations,Specialist,3,Non-Travel,Full-Time,Bangalore,No,25-03-2019,6.9,1,6,109912,1318944,23,28312,1,Yes,2,1,2,2,1,No,42,5,3,8,No,11,No,1,1,Consultancy,29508,23051,West,35-44
13,Female,52,Married,Master,IT,Specialist,5,Travel_Frequently,Contract,Mumbai,No,24-06-2017,8.7,2,0,107235,1286820,23,28251,1,Yes,2,1,2,1,9,No,1,0,3,4,No,22,No,1,4,LinkedIn,13343,33500,East,45-54
14,Female,49,Divorced,Master,Finance,Executive,3,Travel_Rarely,Contract,Ahmedabad,Yes,15-01-2022,4.1,4,0,36964,443568,18,13245,0,No,4,2,2,4,7,No,33,4,3,12,No,10,No,1,4,Referral,33289,29823,North,45-54
15,Female,36,Divorced,Bachelor,Sales,Specialist,3,Travel_Frequently,Full-Time,Bangalore,Yes,26-11-2017,8.2,0,2,36364,436368,15,38155,2,Yes,1,4,2,3,13,Yes,12,13,2,5,No,18,Yes,3,1,Referral,35351,35305,South,35-44
16,Male,27,Married,High School,HR,Team Lead,3,Travel_Rarely,Contract,Bangalore,Yes,20-08-2016,9.5,4,8,77458,929496,8,44425,0,Yes,4,4,3,1,4,No,96,4,4,3,No,23,Yes,3,1,Campus,31352,75069,North,25-34
17,Female,45,Married,High School,IT,Analyst,1,Travel_Rarely,Full-Time,Delhi,No,17-09-2019,6.4,8,6,61555,738660,18,32307,2,No,3,4,1,1,12,Yes,52,3,1,9,No,16,Yes,3,1,LinkedIn,31545,41689,East,35-44
